round,alive_nodes,dead_nodes,residual_energy,energy_consumed_round,throughput_round,cumulative_throughput
241,54,0,12.648039,0.190784,30,7213
242,54,0,12.623029,0.025009,29,7242
243,54,0,12.5963,0.026729,29,7271
244,54,0,12.573384,0.022916,33,7304
245,54,0,12.556065,0.017318,27,7331
246,54,0,12.52865,0.027415,31,7362
247,54,0,12.493246,0.035405,29,7391
248,54,0,12.456525,0.03672,29,7420
249,54,0,12.411142,0.045383,32,7452
250,54,0,12.392086,0.019057,30,7482
251,54,0,12.366839,0.025246,32,7514
252,54,0,12.344052,0.022788,26,7540
253,54,0,12.313877,0.030175,27,7567
254,54,0,12.273253,0.040624,26,7593
255,54,0,12.255309,0.017944,24,7617
256,54,0,12.235406,0.019903,31,7648
257,54,0,12.206082,0.029324,29,7677
258,54,0,12.177008,0.029074,28,7705
259,54,0,12.157813,0.019195,30,7735
260,54,0,12.125178,0.032635,26,7761
261,54,0,12.108105,0.017073,25,7786
262,54,0,12.089031,0.019074,30,7816
263,54,0,12.068384,0.020647,32,7848
264,54,0,11.884676,0.183708,28,7876
265,54,0,11.866176,0.018501,28,7904
266,54,0,11.846254,0.019922,26,7930
267,54,0,11.653793,0.192461,30,7960
268,54,0,11.481173,0.17262,26,7986
269,54,0,11.278022,0.203151,32,8018
270,54,0,11.26036,0.017661,27,8045
271,54,0,11.218973,0.041388,32,8077
272,54,0,11.173117,0.045856,32,8109
273,54,0,11.147229,0.025887,27,8136
274,54,0,11.113636,0.033593,23,8159
275,54,0,11.080594,0.033042,32,8191
276,54,0,11.047984,0.03261,29,8220
277,54,0,11.018159,0.029826,26,8246
278,54,0,10.979805,0.038354,29,8275
279,54,0,10.919461,0.060344,31,8306
280,54,0,10.85885,0.060611,28,8334
281,54,0,10.835931,0.022919,31,8365
282,54,0,10.816486,0.019445,30,8395
283,54,0,10.791128,0.025357,32,8427
284,54,0,10.766466,0.024662,31,8458
285,54,0,10.739433,0.027034,28,8486
286,54,0,10.694604,0.044829,30,8516
287,54,0,10.67432,0.020284,26,8542
288,54,0,10.645201,0.029119,29,8571
289,54,0,10.613734,0.031467,27,8598
290,54,0,10.587519,0.026215,32,8630
291,54,0,10.556089,0.031429,29,8659
292,54,0,10.536147,0.019942,29,8688
293,54,0,10.508918,0.027229,29,8717
294,54,0,10.310246,0.198672,30,8747
295,54,0,10.289453,0.020793,32,8779
296,54,0,10.270164,0.019289,27,8806
297,54,0,10.244073,0.026091,27,8833
298,54,0,10.196106,0.047967,25,8858
299,54,0,10.166509,0.029597,30,8888
300,54,0,10.134152,0.032358,28,8916
301,54,0,10.116264,0.017887,25,8941
302,54,0,10.094049,0.022215,32,8973
303,54,0,10.070342,0.023707,26,8999
304,54,0,10.037777,0.032565,28,9027
305,54,0,10.014613,0.023164,35,9062
306,54,0,9.997542,0.017071,26,9088
307,54,0,9.969033,0.028509,25,9113
308,54,0,9.951459,0.017574,27,9140
309,54,0,9.778186,0.173273,27,9167
310,54,0,9.745769,0.032417,31,9198
311,54,0,9.716781,0.028988,28,9226
312,54,0,9.694902,0.021879,29,9255
313,53,1,9.668587,0.026413,30,9285
314,53,1,9.637684,0.030902,28,9313
315,53,1,9.612381,0.025303,31,9344
316,53,1,9.588666,0.023715,25,9369
317,53,1,9.554146,0.03452,30,9399
318,53,1,9.519506,0.03464,32,9431
319,53,1,9.478272,0.041234,23,9454
320,53,1,9.423377,0.054895,30,9484
321,53,1,9.407266,0.016111,24,9508
322,53,1,9.385357,0.021909,29,9537
323,51,3,9.3594,0.03412,29,9566
324,51,3,9.184496,0.174904,28,9594
325,51,3,9.00114,0.183356,28,9622
326,51,3,8.979298,0.021841,25,9647
327,51,3,8.948178,0.03112,29,9676
328,51,3,8.925535,0.022643,29,9705
329,51,3,8.896986,0.028549,25,9730
330,51,3,8.877079,0.019907,32,9762
331,51,3,8.855683,0.021396,29,9791
332,51,3,8.834093,0.021589,34,9825
333,51,3,8.797521,0.036573,32,9857
334,51,3,8.647725,0.149796,24,9881
335,51,3,8.619288,0.028437,30,9911
336,51,3,8.594084,0.025204,29,9940
337,51,3,8.563411,0.030673,27,9967
338,51,3,8.522157,0.041254,26,9993
339,50,4,8.44666,0.080382,34,10027
340,50,4,8.414522,0.032138,22,10049
341,50,4,8.392284,0.022238,26,10075
342,49,5,8.367869,0.024443,32,10107
343,49,5,8.225578,0.142291,23,10130
344,47,7,8.085657,0.144194,22,10152
345,47,7,8.064591,0.021066,28,10180
346,46,8,7.921587,0.147845,25,10205
347,46,8,7.766012,0.155576,27,10232
348,46,8,7.741699,0.024312,25,10257
349,46,8,7.72641,0.015289,22,10279
350,46,8,7.701797,0.024613,21,10300
351,45,9,7.681397,0.023374,26,10326
352,45,9,7.667171,0.014226,20,10346
353,45,9,7.634871,0.0323,29,10375
354,45,9,7.598857,0.036014,19,10394
355,45,9,7.578088,0.020768,19,10413
356,45,9,7.56298,0.015108,21,10434
357,43,11,7.43201,0.142716,22,10456
358,43,11,7.416808,0.015202,18,10474
359,43,11,7.38278,0.034028,21,10495
360,43,11,7.327215,0.055565,19,10514
361,43,11,7.312058,0.015158,15,10529
362,43,11,7.296579,0.015479,23,10552
363,43,11,7.278871,0.017708,21,10573
364,42,12,7.139409,0.139959,21,10594
