round,alive_nodes,dead_nodes,residual_energy,energy_consumed_round,throughput_round,cumulative_throughput
640,34,20,1.70715,0.019633,15,18917
641,32,22,1.690468,0.01691,18,18935
642,32,22,1.670964,0.019504,21,18956
643,32,22,1.654778,0.016186,16,18972
644,32,22,1.640338,0.01444,13,18985
645,32,22,1.621808,0.01853,14,18999
646,32,22,1.597948,0.02386,20,19019
647,30,24,1.584627,0.013526,12,19031
648,30,24,1.570204,0.014423,14,19045
649,30,24,1.551198,0.019006,15,19060
650,30,24,1.539163,0.012036,10,19070
651,30,24,1.524234,0.014929,14,19084
652,30,24,1.511156,0.013078,12,19096
653,29,25,1.503856,0.007496,5,19101
654,29,25,1.491946,0.01191,10,19111
655,28,26,1.47861,0.013587,12,19123
656,28,26,1.466051,0.012559,11,19134
657,28,26,1.451433,0.014619,14,19148
658,28,26,1.438644,0.012788,11,19159
659,28,26,1.423339,0.015305,14,19173
660,28,26,1.407304,0.016035,16,19189
661,28,26,1.390796,0.016508,16,19205
662,28,26,1.374275,0.016521,17,19222
663,28,26,1.356237,0.018038,19,19241
664,28,26,1.335759,0.020478,16,19257
665,27,27,1.318502,0.017596,12,19269
666,27,27,1.305067,0.013435,12,19281
667,27,27,1.291274,0.013793,13,19294
668,26,28,1.273464,0.01797,14,19308
669,25,29,1.254265,0.019382,16,19324
670,25,29,1.240373,0.013892,9,19333
671,25,29,1.230228,0.010145,8,19341
672,24,30,1.22089,0.009502,8,19349
673,24,30,1.208706,0.012185,11,19360
674,24,30,1.200309,0.008397,6,19366
675,23,31,1.18777,0.01265,11,19377
676,23,31,1.170785,0.016985,13,19390
677,23,31,1.155614,0.015171,11,19401
678,22,32,1.144798,0.01097,9,19410
679,21,33,1.136319,0.008586,6,19416
680,21,33,1.128541,0.007777,4,19420
681,21,33,1.118372,0.01017,8,19428
682,21,33,1.1062,0.012172,10,19438
683,21,33,1.096216,0.009984,7,19445
684,21,33,1.080644,0.015572,11,19456
685,20,34,1.071178,0.009733,8,19464
686,20,34,1.062477,0.008701,6,19470
687,20,34,1.050099,0.012378,7,19477
688,20,34,1.039594,0.010505,9,19486
689,20,34,1.024053,0.015541,11,19497
690,20,34,1.015517,0.008535,6,19503
691,20,34,1.008592,0.006925,4,19507
692,20,34,0.995191,0.013401,8,19515
693,20,34,0.987549,0.007642,5,19520
694,20,34,0.978281,0.009268,7,19527
695,20,34,0.968386,0.009895,8,19535
696,20,34,0.956113,0.012273,7,19542
697,19,35,0.940191,0.016014,5,19547
698,18,36,0.929091,0.01127,5,19552
699,18,36,0.918276,0.010815,9,19561
700,18,36,0.910763,0.007512,4,19565
701,18,36,0.899227,0.011536,6,19571
702,18,36,0.891645,0.007582,5,19576
703,18,36,0.883439,0.008206,5,19581
704,18,36,0.873041,0.010399,8,19589
705,18,36,0.861522,0.011518,6,19595
706,18,36,0.853021,0.008501,6,19601
707,18,36,0.846132,0.006889,4,19605
708,18,36,0.836168,0.009964,8,19613
709,18,36,0.829956,0.006213,3,19616
710,18,36,0.823055,0.0069,4,19620
711,18,36,0.812057,0.010998,9,19629
712,18,36,0.804394,0.007663,4,19633
713,18,36,0.794273,0.010121,4,19637
714,18,36,0.784235,0.010038,8,19645
715,18,36,0.776804,0.007431,4,19649
716,18,36,0.770384,0.00642,3,19652
717,18,36,0.763465,0.006918,4,19656
718,18,36,0.754053,0.009412,7,19663
719,18,36,0.746452,0.007601,5,19668
720,17,37,0.736181,0.010364,8,19676
721,17,37,0.726019,0.010162,4,19680
722,17,37,0.718173,0.007845,5,19685
723,17,37,0.709518,0.008656,6,19691
724,17,37,0.701913,0.007604,5,19696
725,17,37,0.690976,0.010938,5,19701
726,17,37,0.683296,0.007679,4,19705
727,17,37,0.674168,0.009128,7,19712
728,17,37,0.664561,0.009607,3,19715
729,17,37,0.654306,0.010256,8,19723
730,16,38,0.645672,0.008725,6,19729
731,16,38,0.63701,0.008662,6,19735
732,16,38,0.628926,0.008084,5,19740
733,15,39,0.621525,0.008822,5,19745
734,15,39,0.615091,0.006433,3,19748
735,14,40,0.605946,0.009212,7,19755
736,13,41,0.599104,0.008971,6,19761
737,11,43,0.595711,0.006727,3,19764
738,11,43,0.58881,0.006902,4,19768
739,11,43,0.582599,0.006211,3,19771
740,11,43,0.576372,0.006227,3,19774
741,11,43,0.56986,0.006512,3,19777
742,9,45,0.566742,0.005348,2,19779
743,8,46,0.561483,0.005509,2,19781
744,7,47,0.561461,0.000277,1,19782
745,6,48,0.55707,0.006155,3,19785
746,5,49,0.554601,0.005039,1,19786
747,4,50,0.553963,0.004866,1,19787
748,4,50,0.553955,8e-06,0,19787
749,3,51,0.553753,0.000246,1,19788
750,3,51,0.553747,6e-06,0,19788
751,3,51,0.553741,6e-06,0,19788
752,3,51,0.553735,6e-06,0,19788
753,3,51,0.553729,6e-06,0,19788
754,3,51,0.553723,6e-06,0,19788
755,3,51,0.553717,6e-06,0,19788
756,3,51,0.553711,6e-06,0,19788
757,3,51,0.553705,6e-06,0,19788
758,3,51,0.553699,6e-06,0,19788
759,3,51,0.553693,6e-06,0,19788
760,3,51,0.553687,6e-06,0,19788
761,3,51,0.553681,6e-06,0,19788
762,3,51,0.553675,6e-06,0,19788
763,3,51,0.553669,6e-06,0,19788
764,3,51,0.553663,6e-06,0,19788
765,3,51,0.553657,6e-06,0,19788
766,3,51,0.553651,6e-06,0,19788
767,3,51,0.553645,6e-06,0,19788
768,3,51,0.553639,6e-06,0,19788
769,3,51,0.553633,6e-06,0,19788
770,3,51,0.553627,6e-06,0,19788
771,3,51,0.553621,6e-06,0,19788
772,3,51,0.553615,6e-06,0,19788
773,3,51,0.553609,6e-06,0,19788
774,3,51,0.553603,6e-06,0,19788
775,3,51,0.553597,6e-06,0,19788
776,3,51,0.553591,6e-06,0,19788
777,3,51,0.553585,6e-06,0,19788
778,3,51,0.553579,6e-06,0,19788
779,3,51,0.545556,0.008023,1,19789
780,3,51,0.54555,6e-06,0,19789
781,3,51,0.545544,6e-06,0,19789
782,3,51,0.545538,6e-06,0,19789
783,3,51,0.545532,6e-06,0,19789
784,3,51,0.545526,6e-06,0,19789
785,3,51,0.54552,6e-06,0,19789
786,3,51,0.545514,6e-06,0,19789
787,3,51,0.545508,6e-06,0,19789
788,3,51,0.545502,6e-06,0,19789
789,3,51,0.545496,6e-06,0,19789
790,3,51,0.54549,6e-06,0,19789
791,3,51,0.545484,6e-06,0,19789
792,3,51,0.545478,6e-06,0,19789
793,3,51,0.545472,6e-06,0,19789
794,3,51,0.545466,6e-06,0,19789
795,3,51,0.54546,6e-06,0,19789
796,3,51,0.545454,6e-06,0,19789
797,3,51,0.545448,6e-06,0,19789
798,3,51,0.545442,6e-06,0,19789
799,3,51,0.545436,6e-06,0,19789
800,3,51,0.54543,6e-06,0,19789
801,3,51,0.545424,6e-06,0,19789
802,3,51,0.545418,6e-06,0,19789
803,3,51,0.545412,6e-06,0,19789
804,3,51,0.545406,6e-06,0,19789
805,3,51,0.5454,6e-06,0,19789
806,3,51,0.545394,6e-06,0,19789
807,3,51,0.545388,6e-06,0,19789
808,3,51,0.545382,6e-06,0,19789
809,3,51,0.545376,6e-06,0,19789
810,3,51,0.54537,6e-06,0,19789
811,3,51,0.545364,6e-06,0,19789
812,3,51,0.545358,6e-06,0,19789
813,3,51,0.545352,6e-06,0,19789
814,3,51,0.545346,6e-06,0,19789
815,3,51,0.54534,6e-06,0,19789
816,3,51,0.545334,6e-06,0,19789
817,3,51,0.545328,6e-06,0,19789
818,3,51,0.545322,6e-06,0,19789
819,3,51,0.545316,6e-06,0,19789
820,3,51,0.54531,6e-06,0,19789
821,3,51,0.545304,6e-06,0,19789
822,3,51,0.545298,6e-06,0,19789
823,3,51,0.545292,6e-06,0,19789
824,3,51,0.545286,6e-06,0,19789
825,3,51,0.54528,6e-06,0,19789
826,3,51,0.545274,6e-06,0,19789
827,3,51,0.545268,6e-06,0,19789
828,3,51,0.545262,6e-06,0,19789
829,3,51,0.545256,6e-06,0,19789
830,3,51,0.54525,6e-06,0,19789
831,3,51,0.545244,6e-06,0,19789
832,3,51,0.545238,6e-06,0,19789
833,3,51,0.545232,6e-06,0,19789
834,3,51,0.545226,6e-06,0,19789
835,3,51,0.54522,6e-06,0,19789
836,3,51,0.545214,6e-06,0,19789
837,3,51,0.545208,6e-06,0,19789
838,3,51,0.545202,6e-06,0,19789
839,3,51,0.545196,6e-06,0,19789
840,3,51,0.54519,6e-06,0,19789
841,3,51,0.545184,6e-06,0,19789
