round,alive_nodes,dead_nodes,residual_energy,energy_consumed_round,throughput_round,cumulative_throughput
331,54,0,20.446586,0.019475,32,9820
332,54,0,20.424883,0.021703,36,9856
333,54,0,20.403018,0.021866,35,9891
334,54,0,20.386827,0.016191,26,9917
335,54,0,20.363516,0.02331,33,9950
336,54,0,20.342597,0.02092,32,9982
337,54,0,20.321662,0.020935,29,10011
338,54,0,20.299817,0.021844,29,10040
339,54,0,20.276251,0.023566,37,10077
340,54,0,20.259716,0.016535,23,10100
341,54,0,20.241368,0.018348,30,10130
342,54,0,20.220557,0.020812,36,10166
343,54,0,20.200969,0.019587,27,10193
344,54,0,20.183525,0.017444,26,10219
345,54,0,20.161304,0.022221,34,10253
346,54,0,20.138537,0.022767,32,10285
347,54,0,20.117138,0.0214,32,10317
348,54,0,20.096159,0.020979,30,10347
349,54,0,20.073977,0.022182,29,10376
350,54,0,20.056526,0.017451,26,10402
351,54,0,20.036963,0.019563,30,10432
352,54,0,20.019047,0.017916,28,10460
353,54,0,19.995763,0.023284,35,10495
354,54,0,19.97592,0.019843,27,10522
355,54,0,19.956138,0.019782,27,10549
356,54,0,19.935643,0.020495,27,10576
357,54,0,19.917458,0.018184,29,10605
358,54,0,19.898146,0.019312,26,10631
359,54,0,19.879274,0.018871,29,10660
360,54,0,19.860875,0.018399,28,10688
361,54,0,19.841001,0.019875,26,10714
362,54,0,19.822759,0.018241,29,10743
363,54,0,19.801037,0.021722,30,10773
364,54,0,19.783242,0.017795,28,10801
365,54,0,19.759713,0.023529,36,10837
366,54,0,19.741669,0.018044,29,10866
367,54,0,19.72314,0.018529,29,10895
368,54,0,19.704773,0.018367,29,10924
369,54,0,19.683428,0.021345,36,10960
370,54,0,19.661563,0.021865,34,10994
371,54,0,19.64088,0.020683,33,11027
372,54,0,19.620086,0.020794,32,11059
373,54,0,19.602298,0.017788,28,11087
374,54,0,19.579879,0.022419,36,11123
375,54,0,19.562747,0.017131,27,11150
376,54,0,19.543223,0.019525,30,11180
377,54,0,19.523316,0.019907,33,11213
378,54,0,19.506216,0.0171,28,11241
379,54,0,19.486557,0.019659,33,11274
380,54,0,19.465833,0.020723,29,11303
381,54,0,19.445086,0.020748,29,11332
382,54,0,19.426034,0.019051,31,11363
383,54,0,19.40466,0.021374,29,11392
384,54,0,19.387277,0.017383,28,11420
385,54,0,19.370401,0.016876,26,11446
386,54,0,19.352591,0.01781,29,11475
387,54,0,19.33071,0.021881,33,11508
388,54,0,19.312885,0.017825,29,11537
389,54,0,19.294131,0.018754,30,11567
390,54,0,19.272715,0.021416,30,11597
391,54,0,19.248891,0.023824,35,11632
392,54,0,19.229355,0.019535,32,11664
393,54,0,19.208108,0.021247,29,11693
394,54,0,19.188232,0.019876,34,11727
395,54,0,19.168208,0.020024,33,11760
396,54,0,19.147398,0.02081,28,11788
397,54,0,19.123394,0.024004,33,11821
398,54,0,19.104143,0.019251,30,11851
399,54,0,19.083923,0.02022,27,11878
400,54,0,19.06217,0.021752,34,11912
401,54,0,19.044362,0.017809,21,11933
